PassengerId,Survived,Pclass,Sex,Age,Parch,Fare,Embarked,Name_length,Has_Cabin,FamilySize,IsAlone,Title
0,0,3,1,1,0,0,0,23,0,2,0,1
1,1,1,0,2,0,3,1,51,1,2,0,3
2,1,3,0,1,0,1,0,22,0,1,1,2
3,1,1,0,2,0,3,0,44,1,2,0,3
4,0,3,1,2,0,1,0,24,0,1,1,1
5,0,3,1,1,0,1,2,16,0,1,1,1
6,0,1,1,3,0,3,0,23,1,1,1,1
7,0,3,1,0,1,2,0,30,0,5,0,4
8,1,3,0,1,2,1,0,49,0,3,0,3
9,1,2,0,0,0,2,1,35,0,2,0,3
10,1,3,0,0,1,2,0,31,1,3,0,2
11,1,1,0,3,0,2,0,24,1,1,1,2
12,0,3,1,1,0,1,0,30,0,1,1,1
13,0,3,1,2,5,3,0,27,0,7,0,1
14,0,3,0,0,0,0,0,36,0,1,1,2
15,1,2,0,3,0,2,0,32,0,1,1,3
16,0,3,1,0,1,2,2,20,0,6,0,4
17,1,2,1,1,0,1,0,28,0,1,1,1
18,0,3,0,1,0,2,0,55,0,2,0,3
19,1,3,0,1,0,0,1,23,0,1,1,3
20,0,2,1,2,0,2,0,20,0,1,1,1
21,1,2,1,2,0,1,0,21,1,1,1,1
22,1,3,0,0,0,1,2,27,0,1,1,2
23,1,1,1,1,0,3,0,28,1,1,1,1
24,0,3,0,0,1,2,0,29,0,5,0,2
25,1,3,0,2,5,3,0,57,0,7,0,3
26,0,3,1,1,0,0,1,23,0,1,1,1
27,0,1,1,1,2,3,0,30,1,6,0,1
28,1,3,0,1,0,0,2,29,0,1,1,2
29,0,3,1,1,0,0,0,19,0,1,1,1
30,0,1,1,2,0,2,1,24,0,1,1,5
31,1,1,0,1,0,3,1,46,1,2,0,3
32,1,3,0,1,0,0,2,24,0,1,1,2
33,0,2,1,4,0,1,0,21,0,1,1,1
34,0,1,1,1,0,3,1,23,0,2,0,1
35,0,1,1,2,0,3,0,30,0,2,0,1
36,1,3,1,1,0,0,1,16,0,1,1,1
37,0,3,1,1,0,1,0,24,0,1,1,1
38,0,3,0,1,0,2,0,34,0,3,0,2
39,1,3,0,0,0,1,1,27,0,2,0,2
40,0,3,0,2,0,1,0,46,0,2,0,3
41,0,2,0,1,0,2,0,56,0,2,0,3
42,0,3,1,2,0,0,1,19,0,1,1,1
43,1,2,0,0,2,3,1,40,0,4,0,2
44,1,3,0,1,0,0,2,29,0,1,1,2
45,0,3,1,1,0,1,0,24,0,1,1,1
46,0,3,1,1,0,2,2,17,0,2,0,1
47,1,3,0,2,0,0,2,25,0,1,1,2
48,0,3,1,2,0,2,1,19,0,3,0,1
49,0,3,0,1,0,2,0,45,0,2,0,3
50,0,3,1,0,1,3,0,26,0,6,0,4
51,0,3,1,1,0,0,0,28,0,1,1,1
52,1,1,0,3,0,3,1,40,1,2,0,3
53,1,2,0,1,0,2,0,50,0,2,0,3
54,0,1,1,4,1,3,1,30,1,2,0,1
55,1,1,1,2,0,3,0,17,1,1,1,1
56,1,2,0,1,0,1,0,17,0,1,1,2
57,0,3,1,1,0,0,1,19,0,1,1,1
58,1,2,0,0,2,2,0,28,0,4,0,2
59,0,3,1,0,2,3,0,34,0,8,0,4
60,0,3,1,1,0,0,1,21,0,1,1,1
61,1,1,0,2,0,3,0,19,1,1,1,2
62,0,1,1,2,0,3,0,27,1,2,0,1
63,0,3,1,0,2,2,0,21,0,6,0,4
64,0,1,1,1,0,2,1,21,0,1,1,1
65,1,3,1,1,1,2,1,24,0,3,0,4
66,1,2,0,1,0,1,0,28,1,1,1,3
67,0,3,1,1,0,1,0,24,0,1,1,1
68,1,3,0,1,2,1,0,31,0,7,0,2
69,0,3,1,1,0,1,0,17,0,3,0,1
70,0,2,1,1,0,1,0,26,0,1,1,1
71,0,3,0,0,2,3,0,26,0,8,0,2
72,0,2,1,1,0,3,0,20,0,1,1,1
73,0,3,1,1,0,2,1,27,0,2,0,1
74,1,3,1,1,0,3,0,13,0,1,1,1
75,0,3,1,1,0,0,0,23,1,1,1,1
76,0,3,1,0,0,0,0,17,0,1,1,1
77,0,3,1,1,0,1,0,24,0,1,1,1
78,1,2,1,0,2,2,0,29,0,3,0,4
79,1,3,0,1,0,1,0,24,0,1,1,2
80,0,3,1,1,0,1,0,20,0,1,1,1
81,1,3,1,1,0,1,0,27,0,1,1,1
82,1,3,0,0,0,0,2,30,0,1,1,2
83,0,1,1,1,0,3,0,23,0,1,1,1
84,1,2,0,1,0,1,0,19,0,1,1,2
85,1,3,0,2,0,2,0,55,0,4,0,3
