.mdx file,Line(s),Full path / URL,Keep? [Based on Integration-> FC],Path
docs/models/artifacts.mdx,9,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/wandb-artifacts/Pipeline_Versioning_with_W&B_Artifacts.ipynb,Yes,/wandb/examples/blob/master/colabs/wandb-artifacts/Pipeline_Versioning_with_W&B_Artifacts.ipynb
docs/models/artifacts/ttl.mdx,7,https://colab.research.google.com/github/wandb/examples/blob/kas-artifacts-ttl-colab/colabs/wandb-artifacts/WandB_Artifacts_Time_to_live_TTL_Walkthrough.ipynb,Yes,/wandb/examples/blob/kas-artifacts-ttl-colab/colabs/wandb-artifacts/WandB_Artifacts_Time_to_live_TTL_Walkthrough.ipynb
docs/models/integrations/azure-openai-fine-tuning.mdx,58,,No,
docs/models/integrations/composer.mdx,7,,No,
docs/models/integrations/deepchem.mdx,31,,No,
docs/models/integrations/diffusers.mdx,7,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/diffusers/lcm-diffusers.ipynb,Yes,/wandb/examples/blob/master/colabs/diffusers/lcm-diffusers.ipynb
docs/models/integrations/huggingface.mdx,7,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/huggingface/Huggingface_wandb.ipynb,Yes,/wandb/examples/blob/master/colabs/huggingface/Huggingface_wandb.ipynb
docs/models/integrations/huggingface_transformers.mdx,9,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/huggingface/Optimize_Hugging_Face_models_with_Weights_&_Biases.ipynb,Yes,/wandb/examples/blob/master/colabs/huggingface/Optimize_Hugging_Face_models_with_Weights_&_Biases.ipynb
docs/models/integrations/huggingface_transformers.mdx,436,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/huggingface/Custom_Progress_Callback.ipynb,Yes,/wandb/examples/blob/master/colabs/huggingface/Custom_Progress_Callback.ipynb
docs/models/integrations/keras.mdx,7,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/intro/Intro_to_Weights_%26_Biases_keras.ipynb,Yes,/wandb/examples/blob/master/colabs/intro/Intro_to_Weights_%26_Biases_keras.ipynb
docs/models/integrations/keras.mdx,36,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/keras/Use_WandbMetricLogger_in_your_Keras_workflow.ipynb,Yes,/wandb/examples/blob/master/colabs/keras/Use_WandbMetricLogger_in_your_Keras_workflow.ipynb
docs/models/integrations/keras.mdx,74,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/keras/Use_WandbModelCheckpoint_in_your_Keras_workflow.ipynb,Yes,/wandb/examples/blob/master/colabs/keras/Use_WandbModelCheckpoint_in_your_Keras_workflow.ipynb
docs/models/integrations/keras.mdx,149,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/keras/Use_WandbEvalCallback_in_your_Keras_workflow.ipynb,Yes,/wandb/examples/blob/master/colabs/keras/Use_WandbEvalCallback_in_your_Keras_workflow.ipynb
docs/models/integrations/keras.mdx,260,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/keras/Keras_pipeline_with_Weights_and_Biases.ipynb,Yes,/wandb/examples/blob/master/colabs/keras/Keras_pipeline_with_Weights_and_Biases.ipynb
docs/models/integrations/keras.mdx,262,https://github.com/wandb/examples/blob/master/examples/keras/keras-cnn-fashion/train.py,Yes,/wandb/examples/blob/master/examples/keras/keras-cnn-fashion/train.py
docs/models/integrations/lightgbm.mdx,,,No,
docs/models/integrations/lightgbm.mdx,,,No,
docs/models/integrations/lightgbm.mdx,,,No,
docs/models/integrations/lightning.mdx,11,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/pytorch-lightning/Optimize_PyTorch_Lightning_models_with_Weights_%26_Biases.ipynb,Yes,/wandb/examples/blob/master/colabs/pytorch-lightning/Optimize_PyTorch_Lightning_models_with_Weights_%26_Biases.ipynb
docs/models/integrations/openai-api.mdx,7,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/openai/OpenAI_API_Autologger_Quickstart.ipynb,Yes,/wandb/examples/blob/master/colabs/openai/OpenAI_API_Autologger_Quickstart.ipynb
docs/models/integrations/pytorch.mdx,7,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/pytorch/Simple_PyTorch_Integration.ipynb,Yes,/wandb/examples/blob/master/colabs/pytorch/Simple_PyTorch_Integration.ipynb
docs/models/integrations/sagemaker.mdx,,,No,
docs/models/integrations/tensorboard.mdx,,,No,
docs/models/integrations/tensorflow.mdx,101,https://github.com/wandb/examples/blob/master/examples/tensorflow/tf-estimator-mnist/mnist.py,Check,/wandb/examples/blob/master/examples/tensorflow/tf-estimator-mnist/mnist.py
docs/models/integrations/tensorflow.mdx,102,https://github.com/wandb/examples/blob/master/examples/tensorflow/tf-cnn-fashion/train.py,Check,/wandb/examples/blob/master/examples/tensorflow/tf-cnn-fashion/train.py
docs/models/integrations/torchtune.mdx,7,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/torchtune/torchtune_and_wandb.ipynb,Check,/wandb/examples/blob/master/colabs/torchtune/torchtune_and_wandb.ipynb
docs/models/integrations/ultralytics.mdx,,,No,
docs/models/integrations/ultralytics.mdx,,,No,
docs/models/integrations/ultralytics.mdx,,,No,
docs/models/integrations/ultralytics.mdx,,,No,
docs/models/integrations/ultralytics.mdx,,,No,
docs/models/integrations/ultralytics.mdx,,,No,
docs/models/integrations/xgboost.mdx,7,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/boosting/Credit_Scorecards_with_XGBoost_and_W%26B.ipynb,Yes,/wandb/examples/blob/master/colabs/boosting/Credit_Scorecards_with_XGBoost_and_W%26B.ipynb
docs/models/integrations/xgboost.mdx,62,https://github.com/wandb/examples/tree/master/examples/boosting-algorithms,Yes,/wandb/examples/blob/main/examples/boosting-algorithms/xgboost-housing/train.py
docs/models/integrations/xgboost.mdx,70,https://colab.research.google.com/github/wandb/examples/blob/master/colabs/boosting/Using_W%26B_Sweeps_with_XGBoost.ipynb,Yes,/wandb/examples/blob/master/colabs/boosting/Using_W%26B_Sweeps_with_XGBoost.ipynb
docs/models/integrations/xgboost.mdx,72,https://github.com/wandb/examples/blob/master/examples/wandb-sweeps/sweeps-xgboost/xgboost_tune.py,Yes,/wandb/examples/blob/master/examples/wandb-sweeps/sweeps-xgboost/xgboost_tune.py
